Время — деньги	Б. Франклин		
Деньги дороги, жизнь человеческая ещё дороже, а время дороже всего.	А. Суворов	Цитаты про деньги	
Деньги — это не главное в жизни. Но не забудьте ими обзавестись, прежде, чем сказать такую глупость!	Б. Шоу	Цитаты про деньги	
Мудрый человек держит деньги в голове, но не в сердце.	Д. Свифт	Цитаты про деньги	
Деньги не пахнут	Веспасиан	Цитаты про деньги	
Недостаток денег пережить труднее, чем их избыток.	Сергей Рахман	Цитаты про деньги	
Раньше деньги хоть пахли, зато их можно было пересчитывать…	Сергей Рахман	Цитаты про деньги	
Раньше осваивали целину, а теперь деньги. Прогресс налицо.	Сергей Рахман	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги не пахнут, но улетучиваются.	С. Ежи Лец	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Это был ни с чем по прелести несравнимый запах только что отпечатанных денег.	М. Булгаков	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — помёт дьявола.	Г. Маркес	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Наряду с землей, водой, воздухом и огнем, деньги — суть пятая стихия, с которой человеку чаще всего приходится считаться.	И. Бродский	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — это некое шестое чувство, без которого остальные пять неполноценны.	С. Моэм	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — сами товар, внешняя вещь, которая может стать частной собственностью всякого человека.	К. Маркс	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги, как и молодость, не знают преград.	Д. Лондон	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги всегда есть, только карманы меняются.	Г. Стайн	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги, как пошлина, взыскиваются всегда за какое-нибудь право.	Н. Лесков	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Действительные деньги всегда являются деньгами мирового рынка.	К. Маркс	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги не являются настоящей сущностью, она объективная. В окружающем нас мире их нет, а есть активность ума по их поиску.	В. Пелевин	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Вы можете нанять кого-то, чтобы водить машину для вас, зарабатывать деньги для вас, но вы не сможете никого нанять за все ваши деньги, чтобы он понёс эту болезнь вместо вас.	С. Джобс	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Я деньги мало люблю, но уважаю в них единственный способ благопристойной независимости!	Александр Пушкин	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Человек с деньгами — везде человек.	Ф. Достоевский	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги, как водка, делают человека чудаком.	А. Чехов	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Люди, как люди. Любят деньги, но ведь это всегда было…	М. Булгаков	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги, как тень или красавица, бегут за нами только тогда, когда мы бежим от них.	Н. Гоголь	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
В наше время человек устроен так, что его жизнеспособность определяется содержимым его кошелька.	Д. Лондон	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
При здоровой психике человеку нужно столько денег, сколько он может проесть.	М. Лабковский	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Больше денег – больше жизни.	Д. Лондон	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги не могут купить жизнь.	Б. Марли	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Прежде чем сказать — послушайте. Прежде чем написать — подумайте. Прежде чем тратить — заработайте. Прежде чем инвестировать — исследуйте. Прежде чем критиковать — подождите. Прежде чем молиться — простите. Прежде чем бросить — попробуйте еще раз. Прежде чем уйти на пенсию — накопите. Прежде чей умереть — отдайте.	Уильям Артур Уорд	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Жизнь — игра, а деньги — способ вести счет.	Т. Тёрнер	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Я пишу для себя, а печатаю для денег.	А. Пушкин	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Живопись всё равно, что слишком дорогая любовница: с ней ничего не сделаешь без денег, а денег вечно не хватает.	В. Ван Гог	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Дело не в том, что жить с деньгами очень уж хорошо, а в том, что жить без них очень уж плохо.	У. Черчилль	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Не в деньгах счастье, а в покупках.	М. Монро	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги, правда, не приносят счастья, но действуют чрезвычайно успокаивающе.	Э.М. Ремарк	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
От чего это богатым никто ничего не советует, а все только бедным? Как будто у бедных уж и ума нет. У нас, бедных, только денег нет, а ум такой же, как и у вас.	А. Островский	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
"Внемлите истине полезной: Наш век — торгаш; в сей век железный Без денег и свободы нет."	А. Пушкин	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Учитесь копить, пока вы зарабатываете немного. Вы не сможете этого сделать, когда начнете зарабатывать больше.	Д. Бенни	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньгам по-пустому лежать не надлежит.	А. Суворов	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Он любил и страдал. Он любил деньги и страдал от их недостатка…	И. Ильф, Е. Петров	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
"Благодарность — долг; всякий человек платит свои долги… но любовь — не деньги."	И. Тургенев	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Слишком многие люди тратят деньги, которые они с трудом заработали, на вещи, которые им не нужны, чтобы впечатлить людей, которые им не нравятся.	Уилл Роджерс 	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньгами надо управлять, а не служить им.	Луций Анней Сенека	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — дело наживное.	Сухоруков	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — не главное в жизни. Главное — чтобы они не кончались.	Абу Фарадж	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — очень полезная штука. Они позволяют не делать того, чего ты не любишь делать, а я не люблю делать почти ничего.	Граучо Маркс	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — служанка, если умеешь ими пользоваться, если не умеешь — госпожа.	Зугумов	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — это грязь, но лечебная.	Орбен	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги — это чеканная свобода.	Федор Михайлович Достоевский	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги ведь что еж, которого легко словить, но непросто удержать.	Клавдий Элиан	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги временны, а время денежно.	Валерий Афонченко	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги всегда есть, только карманы меняются.	Гертруда Стайн	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги меня не волнуют, они меня успокаивают.	Р. Шарма	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги могут дать как свободу, так и годы её лишения.	Агацарский	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги можно нарисовать. Но рисуется ли этими деньгами красивая жизнь?	Виктор Коняхин	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Всё, что можно купить за деньги — уже дёшево!	Григорий Горин	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги мы получаем не за труд, а за трудности, с которыми мы их получаем.	Виктор Борисович Шкловский	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги не могут купить жизнь.	Фрэнсис Бэкон	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги не портят человека, они просто показывают, кто он есть на самом деле.	Альбер Камю	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Говорят, деньги не приносят счастья, Но зато, сколько они приносят радости!	Меркьюри	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Одни копят, словно будут жить вечно, а другие тратят, будто сейчас умрут.	Аристотель	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Я убежден, что счастье не имеет ничего общего с деньгами.	Такеши Китано	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги, конечно, деспотическое могущество, но в то же время и высочайшее равенство, и в этом вся их главная сила. Деньги сравнивают все неравенства.	Федор Достоевский	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Человечество любит деньги, из чего бы те ни были сделаны.	Михаил Булгаков	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Наличные деньги — не наличные достоинства.	Денис Фонвизин	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Многим деньги легко достаются, да немногие легко с ними расстаются.	Максим Горький	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Счастье за деньги не купишь. Но можно купить яхту, которая домчит тебя до него.	Джонни Депп	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги рождают деньги.	Томас Фуллер	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Деньги, вопреки распространенному мифу, чаще помогают людям, нежели их портят, уже хотя бы потому, что появляется больше возможностей.	Джордж Гудман	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
Если деньги — ваша надежда на независимость, у вас их никогда не будет. Единственная реальная безопасность, которая будет у человека в этом мире, — это запас знаний, опыта и способностей.	Генри Форд	Цитаты про деньги	https://tutkratko.ru/citati/pro-dengi
